127.0.0.1 - - [23/Feb/2022:15:55:48 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:55:53 +0530] "GET /project_3/ HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:55:53 +0530] "GET /project_3/img/banner-gbe43afd47_1920.jpg HTTP/1.1" 200 480148
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:55:54 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:55:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:55:57 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3489
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:55:57 +0530] "GET /project_3/img/pexels-suzy-hazelwood-1130980.jpg HTTP/1.1" 200 3432318
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:56:04 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6137
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:56:04 +0530] "GET /project_3/img/pexels-olia-danilevich-5088022.jpg HTTP/1.1" 200 2779505
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:57:02 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6380
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:58:35 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:15:58:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9463
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:20:43 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9463
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:21:00 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 17837
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:21:00 +0530] "GET /project_3/js/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:21:00 +0530] "GET /project_3/js/CheckBox11.js HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:21:17 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:21:21 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 6380
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:21:21 +0530] "GET /project_3/ctl/img/pexels-olia-danilevich-5088022.jpg HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:24:58 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:28:59 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:28:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9463
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:36:30 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:36:37 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6137
0:0:0:0:0:0:0:1 - - [23/Feb/2022:16:36:43 +0530] "GET /project_3/ HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:11:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3489
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:12:38 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6137
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:14:17 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6366
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:16:46 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:16:46 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9462
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:17:28 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 16240
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:41:42 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [23/Feb/2022:17:41:48 +0530] "GET /project_3/ HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [23/Feb/2022:18:01:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3489
0:0:0:0:0:0:0:1 - - [23/Feb/2022:18:01:52 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6137
0:0:0:0:0:0:0:1 - - [23/Feb/2022:18:04:09 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6367
0:0:0:0:0:0:0:1 - - [23/Feb/2022:18:04:29 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Feb/2022:18:04:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9462
